id_geno;hauteur
Geno_01_1;86.5
Geno_01_2;89.0
Geno_01_3;96.5
Geno_02_1;81.0
Geno_02_2;85.5
Geno_02_3;91.5
Geno_03_1;123.5
Geno_03_2;119.0
Geno_03_3;125.3
Geno_04_1;110.0
Geno_04_2;119.1
Geno_04_3;116.1
Geno_05_1;102.4
Geno_05_2;97.5
Geno_05_3;98.3
Geno_06_1;94.2
Geno_06_2;98.5
Geno_06_3;92.4
Geno_07_1;84.4
Geno_07_2;82.9
Geno_07_3;87.8
Geno_08_1;82.4
Geno_08_2;86.2
Geno_08_3;77.0
Geno_09_1;95.2
Geno_09_2;93.4
Geno_09_3;101.3
Geno_10_1;96.4
Geno_10_2;93.4
Geno_10_3;97.6
Geno_11_1;99.0
Geno_11_2;103.9
Geno_11_3;94.4
Geno_12_1;100.4
Geno_12_2;99.8
Geno_12_3;97.0
Geno_13_1;104.5
Geno_13_2;100.0
Geno_13_3;102.7
Geno_14_1;102.2
Geno_14_2;97.5
Geno_14_3;96.1
Geno_15_1;91.0
Geno_15_2;87.1
Geno_15_3;91.8
Geno_16_1;86.2
Geno_16_2;88.8
Geno_16_3;89.3
Geno_17_1;102.5
Geno_17_2;107.4
Geno_17_3;103.7
Geno_18_1;108.5
Geno_18_2;110.5
Geno_18_3;103.0
Geno_19_1;95.9
Geno_19_2;94.9
Geno_19_3;90.5
Geno_20_1;92.0
Geno_20_2;99.5
Geno_20_3;96.5
Geno_21_1;98.4
Geno_21_2;106.5
Geno_21_3;101.5
Geno_22_1;101.2
Geno_22_2;104.0
Geno_22_3;100.2
Geno_23_1;100.5
Geno_23_2;106.0
Geno_23_3;106.2
Geno_24_1;100.0
Geno_24_2;116.0
Geno_24_3;105.7
Geno_25_1;79.0
Geno_25_2;85.5
Geno_25_3;80.0
Geno_26_1;83.0
Geno_26_2;81.2
Geno_26_3;89.5
