id_geno;hauteur
Geno_01_1;86.9
Geno_01_2;89.2
Geno_01_3;96.9
Geno_02_1;82.0
Geno_02_2;86.2
Geno_02_3;91.6
Geno_03_1;123.9
Geno_03_2;118.5
Geno_03_3;125.0
Geno_04_1;110.2
Geno_04_2;118.9
Geno_04_3;116.2
Geno_05_1;103.3
Geno_05_2;98.5
Geno_05_3;98.6
Geno_06_1;94.1
Geno_06_2;98.6
Geno_06_3;91.3
Geno_07_1;85.2
Geno_07_2;82.6
Geno_07_3;87.8
Geno_08_1;82.8
Geno_08_2;85.7
Geno_08_3;76.3
Geno_09_1;94.9
Geno_09_2;93.1
Geno_09_3;101.2
Geno_10_1;95.9
Geno_10_2;93.8
Geno_10_3;96.2
Geno_11_1;100.1
Geno_11_2;104.2
Geno_11_3;94.6
Geno_12_1;100.4
Geno_12_2;100.3
Geno_12_3;97.2
Geno_13_1;103.5
Geno_13_2;101.4
Geno_13_3;103.1
Geno_14_1;102.3
Geno_14_2;97.9
Geno_14_3;96.8
Geno_15_1;91.4
Geno_15_2;87.8
Geno_15_3;91.1
Geno_16_1;85.9
Geno_16_2;88.1
Geno_16_3;89.0
Geno_17_1;102.4
Geno_17_2;107.3
Geno_17_3;103.8
Geno_18_1;108.3
Geno_18_2;111.1
Geno_18_3;103.5
Geno_19_1;96.00
Geno_19_2;96.60
Geno_19_3;91.20
Geno_20_1;92.50
Geno_20_2;98.60
Geno_20_3;96.00
Geno_21_1;98.90
Geno_21_2;106.0
Geno_21_3;101.4
Geno_22_1;102.3
Geno_22_2;103.8
Geno_22_3;100.5
Geno_23_1;100.3
Geno_23_2;106.3
Geno_23_3;105.4
Geno_24_1;100.4
Geno_24_2;115.6
Geno_24_3;105.7
Geno_25_1;77.50
Geno_25_2;84.90
Geno_25_3;80.70
Geno_26_1;83.10
Geno_26_2;81.30
Geno_26_3;90.10
